timestamp,indoor_temp,ambient_lux,smoke_ppm,sound_db,is_anomaly
1781000000,21.96,298.27,4.83,40.11,0
1781000005,22.16,290.02,5.5,37.2,0
1781000010,22.33,311.14,5.35,41.49,0
1781000015,22.79,316.05,3.89,34.96,0
1781000020,22.85,332.98,5.06,37.68,0
1781000025,23.12,310.2,4.53,39.47,0
1781000030,23.39,327.15,5.56,38.74,0
1781000035,23.52,323.16,5.85,33.46,0
1781000040,22.65,332.87,3.63,40.63,0
1781000045,23.77,331.31,6.27,34.99,0
1781000050,23.66,345.0,5.17,40.46,0
1781000055,23.97,355.77,5.97,39.44,0
1781000060,23.68,349.29,4.3,39.5,0
1781000065,23.85,383.88,3.77,34.7,0
1781000070,24.2,378.64,5.76,40.51,0
1781000075,24.42,367.22,2.87,36.4,0
1781000080,24.29,357.3,5.05,38.76,0
1781000085,23.89,382.36,5.87,44.96,0
1781000090,24.13,372.24,4.16,35.51,0
1781000095,24.18,375.67,4.89,40.25,0
1781000100,23.6,381.21,2.24,34.75,0
1781000105,23.56,390.9,6.79,37.94,0
1781000110,23.7,390.8,6.63,40.68,0
1781000115,23.57,381.17,6.36,39.14,0
1781000120,23.72,392.9,7.93,36.92,0
1781000125,23.67,396.05,4.23,34.61,0
1781000130,22.99,410.59,6.22,40.07,0
1781000135,22.14,404.68,5.83,36.35,0
1781000140,22.48,398.52,7.59,34.83,0
1781000145,22.35,412.89,4.33,36.91,0
1781000150,22.31,387.34,5.33,34.37,0
1781000155,22.35,400.01,8.43,38.84,0
1781000160,22.29,386.92,4.82,38.97,0
1781000165,22.21,382.88,6.49,39.77,0
1781000170,21.95,406.29,5.08,36.44,0
1781000175,20.92,400.35,4.71,44.06,0
1781000180,20.93,400.59,2.65,36.81,0
1781000185,21.02,404.37,7.17,37.87,0
1781000190,20.44,399.21,5.78,39.47,0
1781000195,20.41,404.23,5.13,40.1,0
1781000200,20.87,397.02,5.43,44.46,0
1781000205,20.44,385.78,5.17,42.45,0
1781000210,20.29,391.51,6.79,36.46,0
1781000215,19.65,386.68,5.34,36.18,0
1781000220,20.36,386.93,3.51,39.55,0
1781000225,19.99,362.98,89.4,37.86,1
1781000230,19.79,379.8,76.2,36.27,1
1781000235,20.12,381.3,3.93,39.14,0
1781000240,20.01,390.21,2.21,40.09,0
1781000245,19.94,362.77,7.85,37.97,0
1781000250,20.75,355.43,5.53,36.53,0
1781000255,19.94,356.39,4.58,38.61,0
1781000260,19.6,371.57,4.75,43.23,0
1781000265,20.03,350.13,9.75,35.39,0
1781000270,20.01,337.27,5.71,40.08,0
1781000275,20.98,335.6,2.6,36.69,0
1781000280,21.11,338.16,2.06,37.89,0
1781000285,21.32,350.01,5.84,38.93,0
1781000290,20.7,315.49,5.07,39.51,0
1781000295,21.43,314.26,3.27,35.67,0
1781000300,21.09,320.55,1.53,37.0,0
1781000305,21.77,324.37,5.11,41.0,0
1781000310,21.71,296.71,3.99,42.58,0
1781000315,22.33,304.03,10.0,37.9,0
1781000320,22.42,297.24,4.67,44.95,0
1781000325,22.88,275.19,4.4,39.29,0
1781000330,22.86,270.74,1.62,32.28,0
1781000335,22.79,278.28,5.52,35.69,0
1781000340,22.62,254.22,5.49,39.11,0
1781000345,23.45,277.55,4.71,42.05,0
1781000350,23.27,258.31,4.22,36.25,0
1781000355,22.81,261.85,5.37,36.91,0
1781000360,23.37,259.47,7.58,38.11,0
1781000365,23.55,245.41,4.9,34.21,0
1781000370,23.76,247.63,7.77,40.83,0
1781000375,24.19,235.71,6.0,34.58,0
1781000380,24.03,243.0,3.85,44.0,0
1781000385,24.15,215.91,5.83,36.78,0
1781000390,24.0,235.88,5.59,31.88,0
1781000395,23.65,235.41,6.95,43.71,0
1781000400,24.52,203.76,6.15,32.25,0
1781000405,24.42,223.68,3.29,44.03,0
1781000410,24.07,199.26,5.44,35.81,0
1781000415,23.84,210.75,7.06,33.73,0
1781000420,23.8,230.98,3.76,38.63,0
1781000425,23.66,203.6,5.97,38.29,0
1781000430,23.19,226.0,6.19,37.5,0
1781000435,23.13,198.65,6.85,37.56,0
1781000440,23.31,203.0,5.92,37.65,0
1781000445,23.23,201.59,6.24,40.02,0
1781000450,22.79,193.65,3.59,35.78,0
1781000455,22.34,209.97,4.93,42.71,0
1781000460,23.13,200.87,2.68,36.86,0
1781000465,22.23,185.31,4.62,38.86,0
1781000470,21.91,192.32,3.86,43.36,0
1781000475,21.8,191.77,4.44,40.86,0
1781000480,21.45,205.2,6.09,40.25,0
1781000485,21.88,195.44,6.7,35.62,0
1781000490,21.15,213.72,6.23,38.01,0
1781000495,20.73,208.43,4.05,35.23,0
1781000500,20.72,206.57,1.82,39.08,0
1781000505,20.8,199.8,6.56,39.83,0
1781000510,20.42,200.72,6.04,33.45,0
1781000515,20.36,203.11,5.1,38.63,0
1781000520,20.36,223.0,5.34,37.06,0
1781000525,19.88,221.33,5.79,42.35,0
1781000530,19.93,217.04,4.91,37.74,0
1781000535,20.09,202.5,6.24,39.96,0
1781000540,20.38,245.22,4.52,37.89,0
1781000545,20.01,245.41,2.4,39.46,0
1781000550,41.7,203.63,1.97,33.85,1
1781000555,38.9,224.39,4.66,34.51,1
1781000560,20.22,225.85,6.98,35.02,0
1781000565,19.86,242.06,5.04,42.27,0
1781000570,20.2,232.85,4.16,36.28,0
1781000575,20.47,253.01,4.82,40.61,0
1781000580,20.2,252.18,5.27,42.58,0
1781000585,20.45,254.52,3.43,40.06,0
1781000590,20.44,266.05,2.15,41.13,0
1781000595,20.36,259.52,6.59,34.0,0
1781000600,20.9,272.8,3.5,42.03,0
1781000605,21.55,257.18,2.83,40.42,0
1781000610,20.89,277.9,5.19,40.08,0
1781000615,21.41,287.67,3.83,41.88,0
1781000620,21.52,295.09,4.23,38.32,0
1781000625,21.82,295.06,3.48,40.39,0
1781000630,22.49,304.11,6.1,40.51,0
1781000635,22.54,309.71,5.32,40.59,0
1781000640,22.48,301.92,5.04,32.33,0
1781000645,22.65,320.74,6.85,38.45,0
1781000650,23.12,321.51,3.46,33.77,0
1781000655,22.73,312.7,5.95,37.38,0
1781000660,23.36,331.89,6.57,41.18,0
1781000665,23.15,333.12,4.2,33.14,0
1781000670,23.68,352.37,4.99,36.52,0
1781000675,23.93,321.55,5.27,38.43,0
1781000680,23.55,363.33,6.46,37.22,0
1781000685,23.79,349.81,4.23,34.08,0
1781000690,24.3,368.12,6.2,34.72,0
1781000695,24.57,381.65,5.28,35.29,0
1781000700,23.72,369.88,3.63,37.9,0
1781000705,24.33,354.32,8.01,42.7,0
1781000710,23.62,358.76,4.57,34.91,0
1781000715,23.89,350.42,4.66,43.41,0
